{'date': '1518-03-31 00:00', 'guardNumber': 773, 'isWakingUpEvent': False, 'isFallingAsleepEvent': False}
{'date': '1518-03-31 00:17', 'guardNumber': 773, 'isWakingUpEvent': False, 'isFallingAsleepEvent': True}
{'date': '1518-03-31 00:42', 'guardNumber': 773, 'isWakingUpEvent': True, 'isFallingAsleepEvent': False}
{'date': '1518-03-31 23:48', 'guardNumber': 2963, 'isWakingUpEvent': False, 'isFallingAsleepEvent': False}
{'date': '1518-04-01 00:04', 'guardNumber': 2963, 'isWakingUpEvent': False, 'isFallingAsleepEvent': True}
{'date': '1518-04-01 00:42', 'guardNumber': 2963, 'isWakingUpEvent': True, 'isFallingAsleepEvent': False}
{'date': '1518-04-01 23:53', 'guardNumber': 643, 'isWakingUpEvent': False, 'isFallingAsleepEvent': False}
{'date': '1518-04-02 00:05', 'guardNumber': 643, 'isWakingUpEvent': False, 'isFallingAsleepEvent': True}
{'date': '1518-04-02 00:13', 'guardNumber': 643, 'isWakingUpEvent': True, 'isFallingAsleepEvent': False}
{'date': '1518-04-02 23:49', 'guardNumber': 643, 'isWakingUpEvent': False, 'isFallingAsleepEvent': False}
{'date': '1518-04-03 00:04', 'guardNumber': 643, 'isWakingUpEvent': False, 'isFallingAsleepEvent': True}
{'date': '1518-04-03 00:36', 'guardNumber': 643, 'isWakingUpEvent': True, 'isFallingAsleepEvent': False}
{'date': '1518-04-03 00:46', 'guardNumber': 643, 'isWakingUpEvent': False, 'isFallingAsleepEvent': True}
{'date': '1518-04-03 00:57', 'guardNumber': 643, 'isWakingUpEvent': True, 'isFallingAsleepEvent': False}
{'date': '1518-04-03 23:58', 'guardNumber': 1129, 'isWakingUpEvent': False, 'isFallingAsleepEvent': False}
{'date': '1518-04-04 00:10', 'guardNumber': 1129, 'isWakingUpEvent': False, 'isFallingAsleepEvent': True}
{'date': '1518-04-04 00:46', 'guardNumber': 1129, 'isWakingUpEvent': True, 'isFallingAsleepEvent': False}
{'date': '1518-04-04 00:54', 'guardNumber': 1129, 'isWakingUpEvent': False, 'isFallingAsleepEvent': True}
{'date': '1518-04-04 00:55', 'guardNumber': 1129, 'isWakingUpEvent': True, 'isFallingAsleepEvent': False}
{'date': '1518-04-04 23:56', 'guardNumber': 101, 'isWakingUpEvent': False, 'isFallingAsleepEvent': False}
{'date': '1518-04-05 00:41', 'guardNumber': 101, 'isWakingUpEvent': False, 'isFallingAsleepEvent': True}
{'date': '1518-04-05 00:57', 'guardNumber': 101, 'isWakingUpEvent': True, 'isFallingAsleepEvent': False}
{'date': '1518-04-06 00:04', 'guardNumber': 811, 'isWakingUpEvent': False, 'isFallingAsleepEvent': False}
{'date': '1518-04-06 00:07', 'guardNumber': 811, 'isWakingUpEvent': False, 'isFallingAsleepEvent': True}
{'date': '1518-04-06 00:15', 'guardNumber': 811, 'isWakingUpEvent': True, 'isFallingAsleepEvent': False}
{'date': '1518-04-06 00:43', 'guardNumber': 811, 'isWakingUpEvent': False, 'isFallingAsleepEvent': True}
{'date': '1518-04-06 00:54', 'guardNumber': 811, 'isWakingUpEvent': True, 'isFallingAsleepEvent': False}
{'date': '1518-04-06 23:58', 'guardNumber': 449, 'isWakingUpEvent': False, 'isFallingAsleepEvent': False}
{'date': '1518-04-07 00:12', 'guardNumber': 449, 'isWakingUpEvent': False, 'isFallingAsleepEvent': True}
{'date': '1518-04-07 00:58', 'guardNumber': 449, 'isWakingUpEvent': True, 'isFallingAsleepEvent': False}
{'date': '1518-04-07 23:53', 'guardNumber': 1049, 'isWakingUpEvent': False, 'isFallingAsleepEvent': False}
{'date': '1518-04-08 00:02', 'guardNumber': 1049, 'isWakingUpEvent': False, 'isFallingAsleepEvent': True}
{'date': '1518-04-08 00:41', 'guardNumber': 1049, 'isWakingUpEvent': True, 'isFallingAsleepEvent': False}
{'date': '1518-04-08 00:45', 'guardNumber': 1049, 'isWakingUpEvent': False, 'isFallingAsleepEvent': True}
{'date': '1518-04-08 00:49', 'guardNumber': 1049, 'isWakingUpEvent': True, 'isFallingAsleepEvent': False}
{'date': '1518-04-09 00:01', 'guardNumber': 643, 'isWakingUpEvent': False, 'isFallingAsleepEvent': False}
{'date': '1518-04-09 00:14', 'guardNumber': 643, 'isWakingUpEvent': False, 'isFallingAsleepEvent': True}
{'date': '1518-04-09 00:28', 'guardNumber': 643, 'isWakingUpEvent': True, 'isFallingAsleepEvent': False}
{'date': '1518-04-09 00:36', 'guardNumber': 643, 'isWakingUpEvent': False, 'isFallingAsleepEvent': True}
{'date': '1518-04-09 00:38', 'guardNumber': 643, 'isWakingUpEvent': True, 'isFallingAsleepEvent': False}
{'date': '1518-04-09 23:52', 'guardNumber': 643, 'isWakingUpEvent': False, 'isFallingAsleepEvent': False}
{'date': '1518-04-10 00:04', 'guardNumber': 643, 'isWakingUpEvent': False, 'isFallingAsleepEvent': True}
{'date': '1518-04-10 00:26', 'guardNumber': 643, 'isWakingUpEvent': True, 'isFallingAsleepEvent': False}
{'date': '1518-04-10 00:41', 'guardNumber': 643, 'isWakingUpEvent': False, 'isFallingAsleepEvent': True}
{'date': '1518-04-10 00:44', 'guardNumber': 643, 'isWakingUpEvent': True, 'isFallingAsleepEvent': False}
{'date': '1518-04-10 23:52', 'guardNumber': 811, 'isWakingUpEvent': False, 'isFallingAsleepEvent': False}
{'date': '1518-04-11 00:04', 'guardNumber': 811, 'isWakingUpEvent': False, 'isFallingAsleepEvent': True}
{'date': '1518-04-11 00:15', 'guardNumber': 811, 'isWakingUpEvent': True, 'isFallingAsleepEvent': False}
{'date': '1518-04-11 23:57', 'guardNumber': 2963, 'isWakingUpEvent': False, 'isFallingAsleepEvent': False}
{'date': '1518-04-12 00:25', 'guardNumber': 2963, 'isWakingUpEvent': False, 'isFallingAsleepEvent': True}
{'date': '1518-04-12 00:54', 'guardNumber': 2963, 'isWakingUpEvent': True, 'isFallingAsleepEvent': False}
{'date': '1518-04-13 00:00', 'guardNumber': 613, 'isWakingUpEvent': False, 'isFallingAsleepEvent': False}
{'date': '1518-04-13 00:35', 'guardNumber': 613, 'isWakingUpEvent': False, 'isFallingAsleepEvent': True}
{'date': '1518-04-13 00:41', 'guardNumber': 613, 'isWakingUpEvent': True, 'isFallingAsleepEvent': False}
{'date': '1518-04-14 00:04', 'guardNumber': 811, 'isWakingUpEvent': False, 'isFallingAsleepEvent': False}
{'date': '1518-04-14 00:37', 'guardNumber': 811, 'isWakingUpEvent': False, 'isFallingAsleepEvent': True}
{'date': '1518-04-14 00:40', 'guardNumber': 811, 'isWakingUpEvent': True, 'isFallingAsleepEvent': False}
{'date': '1518-04-14 00:48', 'guardNumber': 811, 'isWakingUpEvent': False, 'isFallingAsleepEvent': True}
{'date': '1518-04-14 00:54', 'guardNumber': 811, 'isWakingUpEvent': True, 'isFallingAsleepEvent': False}
{'date': '1518-04-14 00:57', 'guardNumber': 811, 'isWakingUpEvent': False, 'isFallingAsleepEvent': True}
{'date': '1518-04-14 00:59', 'guardNumber': 811, 'isWakingUpEvent': True, 'isFallingAsleepEvent': False}
{'date': '1518-04-15 00:00', 'guardNumber': 3023, 'isWakingUpEvent': False, 'isFallingAsleepEvent': False}
{'date': '1518-04-15 00:10', 'guardNumber': 3023, 'isWakingUpEvent': False, 'isFallingAsleepEvent': True}
{'date': '1518-04-15 00:19', 'guardNumber': 3023, 'isWakingUpEvent': True, 'isFallingAsleepEvent': False}
{'date': '1518-04-15 00:22', 'guardNumber': 3023, 'isWakingUpEvent': False, 'isFallingAsleepEvent': True}
{'date': '1518-04-15 00:56', 'guardNumber': 3023, 'isWakingUpEvent': True, 'isFallingAsleepEvent': False}
{'date': '1518-04-15 23:59', 'guardNumber': 197, 'isWakingUpEvent': False, 'isFallingAsleepEvent': False}
{'date': '1518-04-16 00:09', 'guardNumber': 197, 'isWakingUpEvent': False, 'isFallingAsleepEvent': True}
{'date': '1518-04-16 00:51', 'guardNumber': 197, 'isWakingUpEvent': True, 'isFallingAsleepEvent': False}
{'date': '1518-04-16 00:55', 'guardNumber': 197, 'isWakingUpEvent': False, 'isFallingAsleepEvent': True}
{'date': '1518-04-16 00:58', 'guardNumber': 197, 'isWakingUpEvent': True, 'isFallingAsleepEvent': False}
{'date': '1518-04-17 00:00', 'guardNumber': 613, 'isWakingUpEvent': False, 'isFallingAsleepEvent': False}
{'date': '1518-04-17 00:28', 'guardNumber': 613, 'isWakingUpEvent': False, 'isFallingAsleepEvent': True}
{'date': '1518-04-17 00:36', 'guardNumber': 613, 'isWakingUpEvent': True, 'isFallingAsleepEvent': False}
{'date': '1518-04-17 00:44', 'guardNumber': 613, 'isWakingUpEvent': False, 'isFallingAsleepEvent': True}
{'date': '1518-04-17 00:54', 'guardNumber': 613, 'isWakingUpEvent': True, 'isFallingAsleepEvent': False}
{'date': '1518-04-18 00:01', 'guardNumber': 757, 'isWakingUpEvent': False, 'isFallingAsleepEvent': False}
{'date': '1518-04-18 23:58', 'guardNumber': 613, 'isWakingUpEvent': False, 'isFallingAsleepEvent': False}
{'date': '1518-04-19 00:13', 'guardNumber': 613, 'isWakingUpEvent': False, 'isFallingAsleepEvent': True}
{'date': '1518-04-19 00:18', 'guardNumber': 613, 'isWakingUpEvent': True, 'isFallingAsleepEvent': False}
{'date': '1518-04-19 00:34', 'guardNumber': 613, 'isWakingUpEvent': False, 'isFallingAsleepEvent': True}
{'date': '1518-04-19 00:47', 'guardNumber': 613, 'isWakingUpEvent': True, 'isFallingAsleepEvent': False}
{'date': '1518-04-19 00:52', 'guardNumber': 613, 'isWakingUpEvent': False, 'isFallingAsleepEvent': True}
{'date': '1518-04-19 00:57', 'guardNumber': 613, 'isWakingUpEvent': True, 'isFallingAsleepEvent': False}
{'date': '1518-04-20 00:01', 'guardNumber': 2297, 'isWakingUpEvent': False, 'isFallingAsleepEvent': False}
{'date': '1518-04-20 00:22', 'guardNumber': 2297, 'isWakingUpEvent': False, 'isFallingAsleepEvent': True}
{'date': '1518-04-20 00:25', 'guardNumber': 2297, 'isWakingUpEvent': True, 'isFallingAsleepEvent': False}
{'date': '1518-04-20 00:42', 'guardNumber': 2297, 'isWakingUpEvent': False, 'isFallingAsleepEvent': True}
{'date': '1518-04-20 00:50', 'guardNumber': 2297, 'isWakingUpEvent': True, 'isFallingAsleepEvent': False}
{'date': '1518-04-20 23:58', 'guardNumber': 353, 'isWakingUpEvent': False, 'isFallingAsleepEvent': False}
{'date': '1518-04-21 00:51', 'guardNumber': 353, 'isWakingUpEvent': False, 'isFallingAsleepEvent': True}
{'date': '1518-04-21 00:58', 'guardNumber': 353, 'isWakingUpEvent': True, 'isFallingAsleepEvent': False}
{'date': '1518-04-21 23:53', 'guardNumber': 811, 'isWakingUpEvent': False, 'isFallingAsleepEvent': False}
{'date': '1518-04-22 00:04', 'guardNumber': 811, 'isWakingUpEvent': False, 'isFallingAsleepEvent': True}
{'date': '1518-04-22 00:23', 'guardNumber': 811, 'isWakingUpEvent': True, 'isFallingAsleepEvent': False}
{'date': '1518-04-22 00:38', 'guardNumber': 811, 'isWakingUpEvent': False, 'isFallingAsleepEvent': True}
{'date': '1518-04-22 00:49', 'guardNumber': 811, 'isWakingUpEvent': True, 'isFallingAsleepEvent': False}
{'date': '1518-04-22 23:50', 'guardNumber': 2333, 'isWakingUpEvent': False, 'isFallingAsleepEvent': False}
{'date': '1518-04-23 00:00', 'guardNumber': 2333, 'isWakingUpEvent': False, 'isFallingAsleepEvent': True}
{'date': '1518-04-23 00:17', 'guardNumber': 2333, 'isWakingUpEvent': True, 'isFallingAsleepEvent': False}
{'date': '1518-04-23 00:51', 'guardNumber': 2333, 'isWakingUpEvent': False, 'isFallingAsleepEvent': True}
{'date': '1518-04-23 00:54', 'guardNumber': 2333, 'isWakingUpEvent': True, 'isFallingAsleepEvent': False}
{'date': '1518-04-23 23:58', 'guardNumber': 353, 'isWakingUpEvent': False, 'isFallingAsleepEvent': False}
{'date': '1518-04-24 00:41', 'guardNumber': 353, 'isWakingUpEvent': False, 'isFallingAsleepEvent': True}
{'date': '1518-04-24 00:52', 'guardNumber': 353, 'isWakingUpEvent': True, 'isFallingAsleepEvent': False}
{'date': '1518-04-24 23:57', 'guardNumber': 1049, 'isWakingUpEvent': False, 'isFallingAsleepEvent': False}
{'date': '1518-04-25 00:25', 'guardNumber': 1049, 'isWakingUpEvent': False, 'isFallingAsleepEvent': True}
{'date': '1518-04-25 00:27', 'guardNumber': 1049, 'isWakingUpEvent': True, 'isFallingAsleepEvent': False}
{'date': '1518-04-25 00:44', 'guardNumber': 1049, 'isWakingUpEvent': False, 'isFallingAsleepEvent': True}
{'date': '1518-04-25 00:50', 'guardNumber': 1049, 'isWakingUpEvent': True, 'isFallingAsleepEvent': False}
{'date': '1518-04-25 00:53', 'guardNumber': 1049, 'isWakingUpEvent': False, 'isFallingAsleepEvent': True}
{'date': '1518-04-25 00:57', 'guardNumber': 1049, 'isWakingUpEvent': True, 'isFallingAsleepEvent': False}
{'date': '1518-04-25 23:57', 'guardNumber': 2963, 'isWakingUpEvent': False, 'isFallingAsleepEvent': False}
{'date': '1518-04-26 00:18', 'guardNumber': 2963, 'isWakingUpEvent': False, 'isFallingAsleepEvent': True}
{'date': '1518-04-26 00:50', 'guardNumber': 2963, 'isWakingUpEvent': True, 'isFallingAsleepEvent': False}
{'date': '1518-04-26 00:53', 'guardNumber': 2963, 'isWakingUpEvent': False, 'isFallingAsleepEvent': True}
{'date': '1518-04-26 00:56', 'guardNumber': 2963, 'isWakingUpEvent': True, 'isFallingAsleepEvent': False}
{'date': '1518-04-26 23:46', 'guardNumber': 1117, 'isWakingUpEvent': False, 'isFallingAsleepEvent': False}
{'date': '1518-04-27 00:04', 'guardNumber': 1117, 'isWakingUpEvent': False, 'isFallingAsleepEvent': True}
{'date': '1518-04-27 00:15', 'guardNumber': 1117, 'isWakingUpEvent': True, 'isFallingAsleepEvent': False}
